rok,wojewodztwo,teryt,zuzycie_energii_GWh,cena_energii_zl_kWh,ludnosc,ludnosc_miasto,urbanizacja_pct,pkb_mln_zl,hdd,cdd,dochod_os
2022,świętokrzyskie,26,722.83,0.78,1178164,528199,44.83,69158,3283.5,35.05,23801.04
2022,warmińsko-mazurskie,28,960.99,0.81,1366430,806321,59.01,77650,3439.85,35.84,25227
2022,wielkopolskie,30,2665.69,0.77,3493577,1861954,53.3,303203,2974.57,73.71,24889.32
2022,zachodniopomorskie,32,1186.26,0.77,1640622,1116968,68.08,110436,3063.57,43.12,28108.68
2023,dolnośląskie,02,2445.95,0.88,2879271,1939504,67.36,282957,2844.51,26.21,32878.8
2023,kujawsko-pomorskie,04,1480.7,0.92,1996003,1155424,57.89,143435,2984.39,27.77,30409.8
2023,lubelskie,06,1239.43,0.92,2011047,926885,46.09,123628,3005.24,38.17,29537.28
2023,lubuskie,08,747.92,0.88,975023,624598,64.06,71128,2746.15,25.89,32947.92
2023,łódzkie,10,1892.31,0.93,2362519,1459655,61.78,206332,2926.02,26.93,30665.52
2023,małopolskie,12,2670.97,0.88,3429632,1641971,47.88,275613,3014.25,13.66,33479.28
2023,mazowieckie,14,4898.98,0.93,5510527,3562270,64.64,811169,3030.56,34.88,38507.88
2023,opolskie,16,776.63,0.88,936725,494029,52.74,66706,2753.58,32.67,0
2023,podkarpackie,18,1085.43,0.92,2071676,849161,40.99,129230,2892.98,35.48,27371.64
2023,podlaskie,20,867.63,0.92,1138216,692133,60.81,76738,3238.88,26.62,32174.4
2023,pomorskie,22,1731.12,0.96,2359573,1470461,62.32,204734,3106.46,5.37,27501.84
2023,śląskie,24,3419.43,0.87,4320130,3274119,75.79,404848,2911.49,16.29,34704.48
2023,świętokrzyskie,26,724.05,0.92,1168499,526512,45.06,77531,3000.81,22.59,29025.12
2023,warmińsko-mazurskie,28,953.95,0.96,1357910,799788,58.9,84395,3169.22,28.05,29136.72
2023,wielkopolskie,30,2690.17,0.92,3487973,1849631,53.03,335573,2837.46,30.32,29940.24
2023,zachodniopomorskie,32,1182.34,0.91,1631784,1110406,68.05,121257,2927.37,8.34,33609.72
2024,dolnośląskie,02,2708,0.97,2868242,1924741,67.11,302269,2605.75,37.93,37576.56
2024,kujawsko-pomorskie,04,1694,1.01,1984479,1149668,57.93,153798,2712.46,51.05,36233.28
2024,lubelskie,06,1501,1.04,1996440,922698,46.22,135033,2841.59,60.6,34865.04
2024,lubuskie,08,861,0.97,969819,620541,63.99,76040,2531.85,42.92,39080.4
2024,łódzkie,10,2279,1.04,2345924,1452889,61.93,219173,2676.94,46.05,37967.76
2024,małopolskie,12,3014,0.97,3429084,1639583,47.81,297163,2790.32,31.05,39051.24
2024,mazowieckie,14,5425,1.04,5508322,3569116,64.79,872530,2791.33,44.33,43587.12
2024,opolskie,16,871,0.97,930296,490784,52.76,71313,2547.78,46.52,30453.84
2024,podkarpackie,18,1203,1.03,2062997,846651,41.04,140727,2731.1,71.52,33928.68
2024,podlaskie,20,1009,1.04,1132641,688048,60.75,82373,3003.6,20.67,39117.72
2024,pomorskie,22,1971,1.07,2359493,1465450,62.11,219563,2822.62,21.04,38323.32
2024,śląskie,24,3795,0.96,4291441,3248196,75.69,419348,2677.47,37.07,38913
2024,świętokrzyskie,26,789,1.04,1157991,522311,45.1,84575,2795.94,41.2,34274.04
2024,warmińsko-mazurskie,28,1074,1.07,1349172,792466,58.74,90396,2920.58,29.53,34678.32
2024,wielkopolskie,30,3083,1.01,3479986,1840426,52.89,359824,2583.04,52.84,36802.44
2024,zachodniopomorskie,32,1384,1,1622760,1102399,67.93,129307,2633.02,28.62,37325.64
